Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
61O0426,403795,425035,2,43489,1032,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
61P1120,409355,424954,4,43490,1517,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,78,Car,Driver or rider,Slight,Female,53,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
61Q1857,408957,424819,2,43491,2205,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Female,33,Car,Vehicle or pillion passenger,Slight,Male,42,,Vehicle or pillion passenger,Slight,Male,10,,,,,,,,,,,,,,,,,,,,
61S0883,404440,424170,3,43493,900,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
61S1100,415004,422855,1,43486,1500,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61T0050,393942,424186,2,43494,100,A,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,43,Taxi/Private hire car,Vehicle or pillion passenger,Serious,Male,24,,,,,,,,,,,,,,,,,,,,,,,,,
6210481,409292,425056,2,43482,1800,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,40,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6211089,407576,425892,2,43497,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,47,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6211721,406898,426365,2,43497,2011,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,18,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6250208,407617,424288,1,43501,540,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Taxi/Private hire car,Pedestrian,Slight,Male,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6261810,407214,425140,2,43502,2031,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,26,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6290966,408010,426215,2,43505,1225,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,35,Car,Vehicle or pillion passenger,Slight,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,
62A1096,392916,425011,1,43506,1605,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62B1233,407116,428622,1,43507,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight,Female,32,,Pedestrian,Serious,Female,9,,,,,,,,,,,,,,,,,,,,,,,,,
62D0888,415278,422942,2,43509,1353,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,41,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
